response_id,employee_id,survey_date,engagement_score,open_text_comment
R00001,E0001,2024-06-01,4,I feel valued and have autonomy in my work.
R00002,E0001,2024-12-01,5,I feel valued and have autonomy in my work.
R00003,E0001,2025-06-01,3,Communication is acceptable but priorities shift sometimes.
R00004,E0001,2025-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00005,E0002,2023-06-01,5,The culture encourages learning and innovation.
R00006,E0002,2023-12-01,2,Leadership communication lacks clarity.
R00007,E0002,2024-06-01,4,I feel valued and have autonomy in my work.
R00008,E0002,2024-12-01,2,Leadership communication lacks clarity.
R00009,E0002,2025-06-01,5,The culture encourages learning and innovation.
R00010,E0002,2025-12-01,4,The culture encourages learning and innovation.
R00011,E0003,2023-06-01,3,Tools are fine though coordination can improve.
R00012,E0003,2023-12-01,4,Team collaboration is strong and leadership is supportive.
R00013,E0003,2024-06-01,3,Work is steady but processes could improve.
R00014,E0003,2024-12-01,1,Leadership communication lacks clarity.
R00015,E0003,2025-06-01,3,Communication is acceptable but priorities shift sometimes.
R00016,E0003,2025-12-01,2,Leadership communication lacks clarity.
R00017,E0004,2023-06-01,5,I feel valued and have autonomy in my work.
R00018,E0004,2023-12-01,2,Workload is high and expectations are unclear.
R00019,E0004,2024-06-01,5,The culture encourages learning and innovation.
R00020,E0004,2024-12-01,3,Tools are fine though coordination can improve.
R00021,E0004,2025-06-01,3,Tools are fine though coordination can improve.
R00022,E0004,2025-12-01,2,Workload is high and expectations are unclear.
R00023,E0005,2023-06-01,1,Leadership communication lacks clarity.
R00024,E0005,2023-12-01,5,I feel valued and have autonomy in my work.
R00025,E0005,2024-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00026,E0005,2024-12-01,4,The culture encourages learning and innovation.
R00027,E0005,2025-06-01,1,Leadership communication lacks clarity.
R00028,E0005,2025-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00029,E0006,2023-06-01,3,Tools are fine though coordination can improve.
R00030,E0006,2023-12-01,5,I feel valued and have autonomy in my work.
R00031,E0006,2024-06-01,1,Workload is high and expectations are unclear.
R00032,E0006,2024-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00033,E0006,2025-06-01,3,Tools are fine though coordination can improve.
R00034,E0006,2025-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00035,E0007,2023-06-01,3,Work is steady but processes could improve.
R00036,E0007,2023-12-01,5,The culture encourages learning and innovation.
R00037,E0007,2024-06-01,5,The culture encourages learning and innovation.
R00038,E0007,2024-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00039,E0007,2025-06-01,3,Communication is acceptable but priorities shift sometimes.
R00040,E0007,2025-12-01,5,The culture encourages learning and innovation.
R00041,E0008,2023-12-01,2,Leadership communication lacks clarity.
R00042,E0008,2024-06-01,4,The culture encourages learning and innovation.
R00043,E0008,2024-12-01,2,Workload is high and expectations are unclear.
R00044,E0008,2025-06-01,3,Tools are fine though coordination can improve.
R00045,E0008,2025-12-01,5,Team collaboration is strong and leadership is supportive.
R00046,E0009,2023-06-01,3,Communication is acceptable but priorities shift sometimes.
R00047,E0009,2023-12-01,1,Workload is high and expectations are unclear.
R00048,E0009,2024-06-01,4,I feel valued and have autonomy in my work.
R00049,E0009,2024-12-01,1,Workload is high and expectations are unclear.
R00050,E0009,2025-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00051,E0009,2025-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00052,E0010,2023-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00053,E0010,2023-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00054,E0010,2024-06-01,5,I feel valued and have autonomy in my work.
R00055,E0010,2024-12-01,5,The culture encourages learning and innovation.
R00056,E0010,2025-06-01,5,I feel valued and have autonomy in my work.
R00057,E0010,2025-12-01,3,Tools are fine though coordination can improve.
R00058,E0011,2023-06-01,4,The culture encourages learning and innovation.
R00059,E0011,2023-12-01,4,I feel valued and have autonomy in my work.
R00060,E0011,2024-06-01,4,The culture encourages learning and innovation.
R00061,E0011,2024-12-01,4,Team collaboration is strong and leadership is supportive.
R00062,E0011,2025-06-01,2,Leadership communication lacks clarity.
R00063,E0011,2025-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00064,E0012,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00065,E0012,2023-12-01,5,The culture encourages learning and innovation.
R00066,E0012,2024-06-01,1,Leadership communication lacks clarity.
R00067,E0012,2024-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00068,E0012,2025-06-01,4,Team collaboration is strong and leadership is supportive.
R00069,E0012,2025-12-01,2,Leadership communication lacks clarity.
R00070,E0013,2023-06-01,3,Work is steady but processes could improve.
R00071,E0013,2023-12-01,5,I feel valued and have autonomy in my work.
R00072,E0013,2024-06-01,1,Workload is high and expectations are unclear.
R00073,E0013,2024-12-01,3,Tools are fine though coordination can improve.
R00074,E0013,2025-06-01,3,Work is steady but processes could improve.
R00075,E0013,2025-12-01,5,Team collaboration is strong and leadership is supportive.
R00076,E0014,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00077,E0014,2023-12-01,3,Communication is acceptable but priorities shift sometimes.
R00078,E0014,2024-06-01,3,Communication is acceptable but priorities shift sometimes.
R00079,E0014,2024-12-01,4,Team collaboration is strong and leadership is supportive.
R00080,E0014,2025-06-01,2,Workload is high and expectations are unclear.
R00081,E0014,2025-12-01,5,I feel valued and have autonomy in my work.
R00082,E0015,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00083,E0015,2023-12-01,3,Work is steady but processes could improve.
R00084,E0015,2024-06-01,2,Leadership communication lacks clarity.
R00085,E0015,2024-12-01,4,Team collaboration is strong and leadership is supportive.
R00086,E0015,2025-06-01,1,Leadership communication lacks clarity.
R00087,E0015,2025-12-01,3,Work is steady but processes could improve.
R00088,E0016,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00089,E0016,2023-12-01,4,The culture encourages learning and innovation.
R00090,E0016,2024-06-01,3,Tools are fine though coordination can improve.
R00091,E0016,2024-12-01,4,I feel valued and have autonomy in my work.
R00092,E0016,2025-06-01,4,I feel valued and have autonomy in my work.
R00093,E0016,2025-12-01,5,Team collaboration is strong and leadership is supportive.
R00094,E0017,2023-06-01,2,Leadership communication lacks clarity.
R00095,E0017,2023-12-01,4,I feel valued and have autonomy in my work.
R00096,E0017,2024-06-01,4,Team collaboration is strong and leadership is supportive.
R00097,E0017,2024-12-01,3,Work is steady but processes could improve.
R00098,E0017,2025-06-01,5,The culture encourages learning and innovation.
R00099,E0017,2025-12-01,5,I feel valued and have autonomy in my work.
R00100,E0018,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00101,E0018,2023-12-01,4,I feel valued and have autonomy in my work.
R00102,E0018,2024-06-01,5,Team collaboration is strong and leadership is supportive.
R00103,E0018,2024-12-01,4,The culture encourages learning and innovation.
R00104,E0018,2025-06-01,3,Tools are fine though coordination can improve.
R00105,E0018,2025-12-01,1,Workload is high and expectations are unclear.
R00106,E0019,2023-06-01,1,Leadership communication lacks clarity.
R00107,E0019,2023-12-01,3,Tools are fine though coordination can improve.
R00108,E0019,2024-06-01,1,Leadership communication lacks clarity.
R00109,E0019,2024-12-01,5,Team collaboration is strong and leadership is supportive.
R00110,E0019,2025-06-01,2,Leadership communication lacks clarity.
R00111,E0020,2023-06-01,5,The culture encourages learning and innovation.
R00112,E0020,2023-12-01,1,Leadership communication lacks clarity.
R00113,E0020,2024-06-01,5,Team collaboration is strong and leadership is supportive.
R00114,E0020,2024-12-01,4,The culture encourages learning and innovation.
R00115,E0020,2025-06-01,1,Workload is high and expectations are unclear.
R00116,E0020,2025-12-01,5,Team collaboration is strong and leadership is supportive.
R00117,E0021,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00118,E0021,2023-12-01,2,Workload is high and expectations are unclear.
R00119,E0022,2023-06-01,5,I feel valued and have autonomy in my work.
R00120,E0022,2023-12-01,1,Leadership communication lacks clarity.
R00121,E0022,2024-06-01,5,I feel valued and have autonomy in my work.
R00122,E0022,2024-12-01,4,The culture encourages learning and innovation.
R00123,E0022,2025-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00124,E0022,2025-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00125,E0023,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00126,E0023,2023-12-01,4,Team collaboration is strong and leadership is supportive.
R00127,E0023,2024-06-01,5,I feel valued and have autonomy in my work.
R00128,E0024,2024-06-01,4,I feel valued and have autonomy in my work.
R00129,E0024,2024-12-01,1,Workload is high and expectations are unclear.
R00130,E0024,2025-06-01,1,Leadership communication lacks clarity.
R00131,E0024,2025-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00132,E0025,2023-06-01,2,Workload is high and expectations are unclear.
R00133,E0025,2023-12-01,3,Work is steady but processes could improve.
R00134,E0025,2024-06-01,2,Recognition feels limited and growth opportunities are not transparent.
