exit_id,employee_id,termination_date,exit_comment
X0001,E0019,2025-08-31,Communication with leadership could have been stronger.
X0002,E0021,2024-03-18,I received a stronger compensation offer elsewhere.
X0003,E0023,2024-09-10,Additional coaching would have helped performance.
X0004,E0028,2024-09-06,Salary growth was slower than industry standards.
X0005,E0029,2024-10-03,"Leaving due to geographic relocation, no major concerns."
X0006,E0033,2025-04-03,Additional coaching would have helped performance.
X0007,E0034,2024-09-16,I learned a lot but wanted clearer career progression and mentorship.
X0008,E0037,2024-01-05,Feedback cycles were inconsistent and difficult to interpret.
X0009,E0039,2025-11-23,I learned a lot but wanted clearer career progression and mentorship.
X0010,E0047,2025-11-05,Workload was consistently high and deadlines were tight.
X0011,E0049,2025-08-15,I received a stronger compensation offer elsewhere.
X0012,E0058,2025-06-07,Workload was consistently high and deadlines were tight.
X0013,E0063,2023-05-03,Moving cities for family. The team was supportive.
X0014,E0068,2025-01-16,The pace was intense and difficult to sustain.
X0015,E0069,2024-05-07,Opportunities for advancement felt slow compared to expectations.
X0016,E0078,2024-09-06,I enjoyed the team but growth felt limited and promotion criteria were unclear.
X0017,E0079,2025-04-20,Relocating for personal reasons. Overall positive experience.
X0018,E0087,2023-05-12,Moving cities for family. The team was supportive.
X0019,E0095,2025-04-30,Expectations with my manager were not clearly aligned.
X0020,E0098,2024-08-03,Communication with leadership could have been stronger.
X0021,E0099,2024-02-26,Additional coaching would have helped performance.
X0022,E0100,2024-04-28,Policies could be explained more clearly during onboarding.
X0023,E0101,2023-08-14,Too many competing priorities led to burnout over time.
X0024,E0103,2023-02-26,Relocating for personal reasons. Overall positive experience.
X0025,E0113,2024-09-27,This situation was unfortunate but understandable.
X0026,E0118,2025-06-12,I enjoyed the team but growth felt limited and promotion criteria were unclear.
X0027,E0122,2023-03-17,Additional coaching would have helped performance.
X0028,E0132,2023-12-21,Expectations with my manager were not clearly aligned.
X0029,E0138,2024-05-19,I understand the decision and accept responsibility.
X0030,E0157,2024-07-22,Policies could be explained more clearly during onboarding.
X0031,E0161,2023-12-27,I enjoyed the team but growth felt limited and promotion criteria were unclear.
X0032,E0169,2023-03-28,Communication with leadership could have been stronger.
X0033,E0171,2025-06-03,Too many competing priorities led to burnout over time.
X0034,E0174,2023-04-24,"Leaving due to geographic relocation, no major concerns."
X0035,E0182,2023-06-21,Communication with leadership could have been stronger.
X0036,E0184,2024-09-02,Communication with leadership could have been stronger.
X0037,E0207,2025-04-13,Policies could be explained more clearly during onboarding.
X0038,E0211,2023-07-04,Workload was consistently high and deadlines were tight.
X0039,E0220,2023-10-15,Compensation did not match my responsibilities and market benchmarks.
X0040,E0232,2025-10-21,Opportunities for advancement felt slow compared to expectations.
X0041,E0241,2024-05-30,Moving cities for family. The team was supportive.
X0042,E0251,2023-07-04,This situation was unfortunate but understandable.
X0043,E0254,2023-09-08,I learned a lot but wanted clearer career progression and mentorship.
X0044,E0268,2024-10-03,Relocating for personal reasons. Overall positive experience.
X0045,E0270,2025-02-10,I learned a lot but wanted clearer career progression and mentorship.
X0046,E0272,2025-10-17,I enjoyed the team but growth felt limited and promotion criteria were unclear.
X0047,E0274,2025-05-16,I received a stronger compensation offer elsewhere.
X0048,E0280,2023-08-07,Feedback cycles were inconsistent and difficult to interpret.
X0049,E0292,2025-02-15,Role expectations were harder than anticipated.
X0050,E0295,2024-06-04,This situation was unfortunate but understandable.
X0051,E0301,2023-04-25,Additional coaching would have helped performance.
X0052,E0305,2024-09-15,Role expectations were harder than anticipated.
X0053,E0307,2023-08-20,The pace was intense and difficult to sustain.
X0054,E0311,2025-05-17,This situation was unfortunate but understandable.
X0055,E0313,2024-07-03,The pace was intense and difficult to sustain.
X0056,E0320,2023-10-24,Additional coaching would have helped performance.
X0057,E0323,2025-01-23,Role expectations were harder than anticipated.
X0058,E0325,2023-02-13,Policies could be explained more clearly during onboarding.
X0059,E0329,2025-02-18,I enjoyed the team but growth felt limited and promotion criteria were unclear.
X0060,E0331,2023-04-22,Compensation did not match my responsibilities and market benchmarks.
X0061,E0334,2024-05-05,Compensation did not match my responsibilities and market benchmarks.
X0062,E0335,2025-02-26,I understand the decision and accept responsibility.
X0063,E0345,2025-01-13,I struggled to meet expectations and needed more structured guidance.
X0064,E0346,2023-09-07,I understand the decision and accept responsibility.
X0065,E0348,2024-04-29,Salary growth was slower than industry standards.
X0066,E0350,2025-02-19,I struggled to meet expectations and needed more structured guidance.
X0067,E0352,2025-03-15,I struggled to meet expectations and needed more structured guidance.
X0068,E0354,2024-06-07,Communication with leadership could have been stronger.
X0069,E0358,2024-04-27,This situation was unfortunate but understandable.
X0070,E0360,2023-11-25,Compensation did not match my responsibilities and market benchmarks.
X0071,E0362,2024-10-11,Too many competing priorities led to burnout over time.
X0072,E0366,2025-04-12,Salary growth was slower than industry standards.
X0073,E0373,2024-07-15,Expectations with my manager were not clearly aligned.
X0074,E0376,2025-10-03,I enjoyed the team but growth felt limited and promotion criteria were unclear.
X0075,E0386,2025-04-25,I received a stronger compensation offer elsewhere.
X0076,E0387,2024-11-12,Role expectations were harder than anticipated.
X0077,E0390,2023-07-25,Feedback cycles were inconsistent and difficult to interpret.
X0078,E0392,2024-06-18,I learned a lot but wanted clearer career progression and mentorship.
X0079,E0393,2025-02-22,Relocating for personal reasons. Overall positive experience.
X0080,E0399,2024-10-31,Salary growth was slower than industry standards.
X0081,E0400,2023-02-26,Moving cities for family. The team was supportive.
X0082,E0401,2024-01-12,I learned a lot but wanted clearer career progression and mentorship.
